ANO_MES,PRODUTO,#TP_SEGURO,AREA_AMPARADA_ADESAO,AREA_AMPARADA_ComCOP,AREA_AMPARADA_ComCOP_DEFERIDA,QTD_ADESAO,QTD_ComCOP,QTD_ComCOP_DEFERIDA,VL_AMPARADO_ComCOP_DEF,VL_COBERTURA_ComCOP_DEFERIDA_DEF,VL_ADICIONAL_ADESAO_DEF
2013-01-01,ABACATE,PROAGRO TRADICIONAL,8.25,0.0,0.0,2,0.0,0.0,0.0,0.0,927.3407070034398
2013-01-01,ABACAXI,PROAGRO MAIS,143.34,0.0,0.0,83,0.0,0.0,0.0,0.0,91867.40918853847
2013-01-01,ABACAXI,PROAGRO TRADICIONAL,70.50999999999999,0.0,0.0,14,0.0,0.0,0.0,0.0,36590.82381169369
2013-01-01,ABOBRINHA,PROAGRO MAIS,11.58,0.0,0.0,8,0.0,0.0,0.0,0.0,4143.833797551776
2013-01-01,ABÓBORA-MORANGA,PROAGRO MAIS,10.6,0.0,0.0,9,0.0,0.0,0.0,0.0,2695.2270761144773
2013-01-01,ABÓBORA-MORANGA,PROAGRO TRADICIONAL,42.71,0.0,0.0,15,0.0,0.0,0.0,0.0,3592.485972949539
2013-01-01,ACEROLA,PROAGRO TRADICIONAL,0.7,0.0,0.0,1,0.0,0.0,0.0,0.0,314.9964103656504
2013-01-01,AGAVE (SISAL),PROAGRO TRADICIONAL,3.0,0.0,0.0,1,0.0,0.0,0.0,0.0,74.71869526331577
2013-01-01,AGRIÃO,PROAGRO MAIS,0.1,0.0,0.0,1,0.0,0.0,0.0,0.0,132.4234201083924
2013-01-01,ALCACHOFRA,PROAGRO TRADICIONAL,5.3,0.0,0.0,1,0.0,0.0,0.0,0.0,2814.8007842986053
2013-01-01,ALFACE,PROAGRO MAIS,61.5,0.25,0.25,58,1.0,1.0,6892.700489029117,3610.015518228937,37055.15846357421
2013-01-01,ALFACE,PROAGRO TRADICIONAL,18.65,0.0,0.0,2,0.0,0.0,0.0,0.0,11488.217524560674
2013-01-01,ALFAFA,PROAGRO MAIS,9.05,0.0,0.0,1,0.0,0.0,0.0,0.0,696.4226586113718
2013-01-01,ALFAFA,PROAGRO TRADICIONAL,20.669999999999998,0.0,0.0,3,0.0,0.0,0.0,0.0,1492.0736481934532
2013-01-01,ALHO,PROAGRO MAIS,2.15,0.0,0.0,3,0.0,0.0,0.0,0.0,1132.8369487799105
2013-01-01,AMEIXA,PROAGRO MAIS,12.059999999999999,0.0,0.0,6,0.0,0.0,0.0,0.0,5923.023154003603
2013-01-01,AMENDOIM,PROAGRO MAIS,30.61,0.0,0.0,3,0.0,0.0,0.0,0.0,3688.8389825791705
2013-01-01,AMENDOIM,PROAGRO TRADICIONAL,60.0,0.0,0.0,1,0.0,0.0,0.0,0.0,11089.440199256724
2013-01-01,ARROZ,PROAGRO MAIS,3032.41,73.3,68.3,396,4.0,3.0,347088.4469176869,180072.65047866153,195414.3934943369
2013-01-01,ARROZ,PROAGRO TRADICIONAL,617.27,0.0,0.0,9,0.0,0.0,0.0,0.0,52163.8219824011
2013-01-01,BANANA,PROAGRO MAIS,513.09,11.42,11.42,163,2.0,2.0,143269.68744140337,100448.93462470015,115590.27765780358
